,Name,Category,BIR Certificate Expiry Date,PCNC Certificate Expiry Date,Website
129,"Ernesto Asay Yu Foundation, Inc.",Education - Supports Formal Schools/Students,08/30/2020,08/30/2020,www.eayfph.org
130,"Eugenio Lopez Foundation, Inc.",Culture and Arts,12/31/2020,12/31/2020,www.lopez-museum.com
131,"European International School, Inc.",Education - Formal School,02/08/2023,07/25/2023,www.eis-manila.org
132,"Evangelion Foundation, Inc.",Religious,09/22/2018,10/25/2022,evangelionfoundation.org
133,"Everest Academy, Inc.",Education - Formal School,10/10/2021,10/10/2021,www.everestmanila.com
134,"Every Nation Leadership Institute, Inc. (formerly Victory Leadership Institute, Inc.)",Education - Formal School,10/19/2023,10/19/2023,www.enli.org.ph
135,"F.U.S.E. Foundation (For the Upgrading of Standard of Education),Inc.",Education - Supports Formal Schools/Students,08/30/2022,05/09/2023,www.fuse.org.ph
136,"Faith Academy, Inc.",Education - Formal School,03/06/2021,03/06/2021,https://faith.edu.ph/
137,"Family Cooperation Health Services Foundation, Inc.",Health – public/community,03/26/2020,06/26/2022,www.famcohsef.org
138,"Far East Broadcasting Company (Philippines), Inc.",Religious,08/28/2023,12/12/2023,www.febc.org.ph
139,"Febias College of Bible, Inc.",Education - Formal School,05/08/2023,09/26/2023,www.febias.edu.ph
140,"Feed The Children Philippines, Inc.",Social Welfare and Development,03/05/2020,10/15/2020,www.ftcphils.org
141,"Fei Hua Good News Foundation, Inc.",Others,08/03/2020,08/03/2020,N/A
142,"Felicidad T. Sy Foundation, Inc.",Others,12/31/2020,01/23/2024,N/A
143,"Felix G. Yusay Foundation, Inc.",Social Welfare and Development,12/08/2019,02/21/2021,N/A
144,"Fellowship of Christians in Government, Inc. (FOCIG)",Others,06/24/2022,07/24/2022,www.focig.com
145,"FFCCCII Foundation, Inc.",Social Welfare and Development,05/09/2021,02/22/2022,www.ffcccii.com.ph
146,Filipino Wars Veterans Foundation (FILVETS) Incorporated,Social Welfare and Development,07/07/2020,07/07/2020,www.filvets.net
147,"Fo Guang Shan Foundation, Inc.",Education - Formal School,08/30/2020,08/30/2020,https://guangmingcollege.edu.ph/
148,"Food for Hungry Minds School, Inc.",Education - Formal School,10/26/2022,05/09/2023,www.foodforhungryminds.org
149,"Foundation for Information Technology Education and Development, Inc.",Education - Supports Formal Schools/Students,10/18/2022,05/19/2023,www.fit-ed.org
150,"Foundation for Liberty and Prosperity, Inc.",Research,04/05/2020,02/26/2023,http://libpros.com
151,"Foundation for the Development of Agusanons, Inc.",Social Welfare and Development,10/26/2020,12/12/2023,https://www.facebook.com/fdai.ph/
152,"Fr. Al’s Children Foundation, Inc.",Social Welfare and Development,06/15/2020,06/15/2020,www.facfi.org.ph
153,"France-Philippines United Action Foundation, Inc.",Social Welfare and Development,09/20/2019,02/21/2021,https://www.fpua.org.ph/
154,"Frere (Saint) Benilde Romancon Educational Foundation, Inc. – De La Salle Univer",Education - Formal School,09/24/2020,09/24/2020,www.dlsud.edu.ph
155,"Friends of Hope, Inc.",Social Welfare and Development,06/13/2023,06/13/2023,www.friendsofhope.ph
156,"Friends of Verbum Dei, Inc.",Religious,12/31/2020,12/31/2020,https://www.verbumdeiphilippines.com/quezon-city.html
157,"Fundacion Santiago, Inc.",Social Welfare and Development,09/09/2021,09/09/2021,fundacionsantiago.ngo.ph
158,"Gabriel Taborin College of Davao Foundation, Inc.",Education - Formal School,06/17/2022,06/17/2022,www.Taborin.com
159,"Gawad Kalinga Community Development Foundation, Inc.",Social Welfare and Development,09/12/2019,01/23/2022,www.gk1world.com
160,"Gawad Metronian Educational Foundation, Inc.",Education - Formal School,09/20/2019,03/20/2021,www.gawadmetronian.org
161,"Global Commission Fellowship Foundation, Inc.",Social Welfare and Development,01/23/2020,01/22/2021,https://www.facebook.com/gcffoundation
162,"Global Environment and Nature Ecosystems Society (Phil.) Foundation (GENESYS), Inc.",Environment/Biodiversity,04/05/2020,04/05/2020,N/A
163,"Global Peace Festival Foundation Philippines, Inc.",Community Building/Development,11/27/2020,03/20/2021,http://www.globalpeacephilippines.org/
164,"Global Reciprocal Colleges, Inc.",Education - Formal School,03/13/2022,03/13/2022,www.grc.edu.ph
165,"GMA Kapuso Foundation, Inc.",Social Welfare and Development,01/24/2021,08/22/2023,www.kapusofoundation.com
166,"Gokongwei Brothers Foundation, Inc.",Education - Supports Formal Schools/Students,08/30/2023,05/01/2024,https://www.gokongweibrothersfoundation.org/
167,"Gonzalo and Carmen Abaya Memorial Foundation (GCAMFI), Inc.",Education - Supports Formal Schools/Students,05/08/2022,05/08/2022,N/A
168,"Great and Bountiful Blessings Foundation, Inc.",Social Welfare and Development,12/14/2021,12/14/2021,N/A
169,"GreenEarth Heritage Foundation, Inc.",Environment/Biodiversity,03/01/2020,11/12/2024,www.greenearthheritage.org
170,"GT Foundation, Inc. (formerly GT-Metro Foundation, Inc.)",Social Welfare and Development,02/27/2020,02/26/2025,www.gtmetro.org
171,"Guanella Center, Inc.",Social Welfare and Development,03/30/2018,08/17/2020,www.servantsofcharity.org
172,"H.A.R.I. Foundation, Inc.",Education - Supports Formal Schools/Students,10/15/2020,09/25/2022,https://www.hyundai.ph/corporate/hari-foundation
173,"H E R O  Foundation, Inc.",Education - Supports Formal Schools/Students,10/21/2022,05/01/2024,www.herofoundation.com.ph
174,"Habitat for Humanity Philippines Foundation, Inc.",Social Welfare and Development,09/24/2020,09/24/2020,www.habitat.org.ph
175,"Hands of Love Philippines Foundation, Inc.",Social Welfare and Development,01/23/2020,01/22/2025,https://holpfi.org/
176,"Hands On Manila Foundation, Inc.",Education – Non-Formal/ALS,05/17/2020,09/27/2022,www.handsonmanila.org.ph
177,"Haribon Foundation for the Conservation of Natural Resources, Inc.",Environment/Biodiversity,06/28/2020,12/10/2022,www.haribon.org.ph
178,"Health Education Environment Discipleship Foundation, Inc.",Social Welfare and Development,06/29/2024,08/28/2024,www.heed.org.ph
179,"Health Futures Foundation, Inc.",Health – public/community,03/26/2021,12/06/2021,www.healthfuturesfoundation.com
180,"Henry Sy Foundation, Inc.",Others,12/31/2020,09/26/2021,https://www.sm-foundation.org/who-we-are/affiliates/henry-sy-foundation
181,"Hermano (San) Miguel Febres Cordero Medical Education Foundation (De La Salle Medical and Health Sciences Institute), Inc.",Education - Formal School,02/04/2024,02/04/2024,www.dlshsi.edu.ph
182,"Homer Foundation, Inc.",Education - Supports Formal Schools/Students,03/17/2019,10/24/2023,https://www.facebook.com/homerwecare/
183,"Honda Foundation, Inc.",Others,07/10/2022,11/12/2022,Executive Director / Trustee-Corp. Sec.
184,"Hope Worldwide Philippines, Inc.",Social Welfare and Development,02/12/2020,12/12/2023,www.hopewwph.org
185,"HopeNow Philippines Foundation, Inc.",Health – public/community,11/07/2020,11/07/2020,www.hopenow.ph
186,"ICA Greenhills Scholarship Foundation, Inc.",Education - Formal School,10/11/2021,10/11/2021,www.icagh.edu.ph
187,"ICCP Group Foundation, Inc.",Social Welfare and Development,10/30/2021,12/06/2021,N/A
188,"ICTSI Foundation, Inc.",Social Welfare and Development,03/01/2021,03/01/2021,https://www.ictsi.com/what-we-do/ictsi-foundation-inc
189,"Igan Ng Pilipinas Foundation, Inc.",Social Welfare and Development,02/22/2021,12/06/2021,https://www.igan.org.ph/
190,"Ignajo Foundation, Inc.",Social Welfare and Development,05/15/2020,05/15/2020,N/A
191,"Ilijan Community Development Foundation, Inc.",Education – Technical/Vocational,08/30/2020,08/30/2020,N/A
192,"Ilog Kinderhome Foundation, Inc.",Social Welfare and Development,03/12/2020,02/21/2023,N/A
193,"Imus Unida Christian School, Inc.",Education - Formal School,08/02/2021,08/02/2021,www.iucsph.com
194,"ING Foundation Philippines, Inc.",Education - Formal School,05/24/2021,07/25/2023,N/A
195,"Institute of Social Order, Inc.",Community Building/Development,01/24/2021,06/26/2024,http://www.iso.org.ph
196,"International Bazaar Foundation, Inc.",Social Welfare and Development,04/05/2020,04/05/2020,N/A
197,"International Care Ministries Foundation, Inc.",Social Welfare and Development,12/31/2020,12/31/2020,www.caremin.com
198,"International Center for Innovation, Transformation  and Excellence in Governance (INCITEGov), Inc.",Others,12/06/2021,12/06/2022,http://incitegov.org.ph/
199,"International Graduate School of Leadership, Inc. (formerly Int’l. School of The",Education - Formal School,09/24/2020,09/24/2020,www.igsl.asia
200,"International Sheng Zhen Society Foundation, Incorporated",Health – public/community,03/13/2022,03/13/2022,www.shengzhen.org
201,"IPI Foundation, Inc.",Social Welfare and Development,10/13/2017,01/27/2021,http://ipi-phil.com/ipi-foundation/
202,"Isla Lipana & Co., Foundation, Inc.",Education - Supports Formal Schools/Students,12/22/2019,08/23/2020,N/A
203,"J. Amado Araneta Foundation, Inc.",Others,05/15/2021,06/26/2022,N/A
204,"Jaime V. Ongpin Foundation, Inc.",Environment/Biodiversity,09/16/2021,12/10/2022,www.jvofi.org
205,"JD Pamana Foundation, Inc.",Education - Supports Formal Schools/Students,10/10/2021,10/10/2021,www.jdpamana.com
206,"Jesus V. del Rosario Foundation, Inc.",Social Welfare and Development,01/16/2020,07/26/2022,N/A
207,"Jetti Foundation International, Inc.",Education - Supports Formal Schools/Students,02/28/2019,09/26/2021,N/A
208,"Jollibee Group Foundation, Inc.",Social Welfare and Development,09/09/2021,09/09/2021,https://www.jollibeefoundation.org/
209,"Juanito I. King Foundation, Inc.",Social Welfare and Development,12/31/2020,12/31/2020,jikfi.org
210,"Justice Peace, and Integrity of Creation-Integrated Development Center, Inc.",Social Welfare and Development,11/07/2020,11/07/2020,www.jpic-idc.org.ph
211,"Kabang Kalikasan Ng Pilipinas Foundation, Inc.",Environment/Biodiversity,11/23/2017,11/12/2024,www.wwf.org.ph
212,"Kaibigan Ermita Outreach Foundation, Inc.",Social Welfare and Development,07/01/2021,12/12/2023,kaibiganfoundation.weebly.com
213,"Kaisa Heritage Foundation, Inc.",Culture and Arts,04/01/2020,06/27/2023,www.kaisa.org.ph
214,"Kaisahang Buhay Foundation, Inc.",Social Welfare and Development,04/04/2019,12/06/2019,www.kbf.ph
215,"Kalaw Ledesma Foundation, Inc.",Culture and Arts,06/03/2022,08/28/2022,www.klfi.ph
216,"Kalinangan Youth Foundation, Inc.",Youth Development and Sports,05/24/2020,08/23/2022,http://kalfi.org/
217,"Kalipay Negrense Foundation, Inc.",Social Welfare and Development,11/27/2021,05/01/2024,www.kalipay.org
218,"Kapampangan Development Foundation, Inc.",Social Welfare and Development,01/26/2019,01/26/2019,kapampangandevelopmentfoundation.org
219,"Kapatiran Kaunlaran Foundation, Inc.",Social Welfare and Development,05/15/2020,05/15/2020,www.kkfi.org.ph
220,"Kasagana-Ka Development Center, Inc.",Education – Non-Formal/ALS,04/26/2020,10/25/2020,http://kcoop.org.ph/index.php
221,"Kasama Kita sa Barangay Foundation, Inc.",Education – Technical/Vocational,05/08/2022,05/08/2022,https://www.facebook.com/kksbfi/
222,"Kasilak Development Foundation, Inc.",Community Building/Development,12/21/2019,02/27/2024,https://www.facebook.com/pages/category/Nonprofit-Organization/Kasilak-Development-Foundation-Inc
223,"Katipunan ng Mamamayan ng Bagong Pilipinas Foundaiton, Inc.",Social Welfare and Development,09/10/2020,09/10/2020,N/A
224,"KC Philippines Foundation, Inc.",Education - Supports Formal Schools/Students,06/14/2019,01/23/2020,www.kofc.org.ph
225,"KEITECH Educational Foundation, Inc. (formerly Kananga-EDC Educational Foundatio",Education – Technical/Vocational,08/02/2021,08/02/2021,www.keitech.org
226,"Kidney Foundation of the Philippines, Inc.",Health – public/community,12/31/2019,06/28/2020,www.kfp.org.ph
227,"Knowledge Channel Foundation, Inc.",Social Welfare and Development,09/24/2020,09/24/2020,www.knowledgechannel.org
228,"Kythe, Inc.",Health – public/community,11/15/2020,01/27/2021,www.kythe.org
229,"La Proteccion de la Infancia, Inc.",Health – public/community,09/29/2019,06/26/2020,www.gotadeleche.com
230,"La Salle Academy, Inc.",Education - Formal School,04/05/2021,04/05/2021,N/A
231,"La Salle University-Ozamiz, Inc.",Education - Formal School,05/07/2020,05/07/2020,www.lsu.edu.ph
232,"Lao Foundation, Inc.",Social Welfare and Development,05/08/2021,05/01/2022,https://www.facebook.com/LaoFoundationInc
233,"LBC Hari ng Padala Foundation, Inc.",Education - Supports Formal Schools/Students,09/25/2020,07/25/2021,https://www.facebook.com/LBCFoundation/
234,"League of Corporate Foundations, Inc.",Others,10/28/2020,10/28/2020,www.lcf.org.ph
235,"Let’s Save The Brain Foundation, Inc.",Health – public/community,10/25/2020,05/01/2022,www.letssavethebrain.org
